Religious Affliation,South Asian Heritage,Cause of Mental Health problems,Treatability,Treatments,Experience or Wittnessed stigma,Incident Description,latitude,longitude
Islam,Maldives,"Traumatic experiences, Family problems and other social issues.",Yes,By therapy and support from family and friends or close people.,Experienced,"A friend who is suicidal, doesn't get much help from family or therapy or he just don't want to get better.",1.8546528095722383,73.52234341938379
Hindhu,India,"family, environment, genetic traits",Yes,"Counselling, drug treatment, change in environment and change in behavior",Experienced,"I have seen children and elderly people suffering from mental health in the society, who are tortured by the family and society. Seeing their behavior, instead of understanding them, people tease and beat them.",18.873885983627318,82.05562283209302
Hindhu,India,"Family history, stress, addictions, genetics, environmental causes",Yes,"Some can be treated and some can be managed with medication, therapy, in patient care, family and friends' support",Experienced,"Yes. I have seen many people who think that mental health problems is an act or a a stunt for sympathy. It's nothing. Just get up and go to work, you'll be fine. Or people just call you crazy.",24.770303560764564,84.02294670735527
Hindhu,India,The upbringing of a Child does have an impact on their personalities plus some hereditary conditions.,Yes,Through therapy and ofcourse medications,Experienced,YES In my family my father had a stigma of not visiting Psychiatrist as its just on what we think if we change our thinking patterns we will get healed ourselves.,22.12952459559281,86.68143485082871
Hindhu,India,Stress,Yes,By taking professoional guidance.,Experienced,Yeah I have the person was suffering from depression . He got an anxiety attack.,35.0665203546017,79.81080572575527
Hindhu,India,Stress regarding anything that is causing disturbances in lifestyle.,Yes,Cope mechanisms are taught which can help the person focus onto positive thing and achieve potential.,Experienced,"Yea , I was when my friend said I'm feeling low my other friends said instead she drama kid.",32.441275570656735,77.937308450872
Hindhu,India,"Society, family pressure, peers",Yes,By taking therapy and self motivation,Experienced,When I was 14 years old I saw a boy getting bullied due to his hyperactive behavior and people would take advantage of him,22.976944805649453,80.33770524389458
Hindhu,India,Family issues,Yes,Visiting a psychologist or talking to your loved ones or engaging yourself in some activity that interest you.,Experienced,They mentioned you don’t have to visit a psychologist for this,26.789056702127816,93.53397354664045
Hindhu,India,"Genetics to some extent (my mother had undiagnosed bipolar disorder); cultural stigma and denial (even though my father was a psychiatrist); toxic environment: lot of pressure that exacerbated stress, anxiety, burnout, and substance abuse",Yes,"I shy away from the word ""treat;"" I instead say ""manage,"" and it's done by a combination of meditation, cognitive behavioral therapy (CBT), healthy relationships, nutrition, exercise, meditation, mindfulness, and breathwork",Experienced,"There was huge stigma: my father refused to admit that there was mental illness in my family, even though it was ""hiding in plain sight:"" job instability, unstable relationships, lack of sleep, irritability, fluctuation from grandiose highs to dark lows, etc. He didn't want to acknowledge that I had Bipolar disorder. Also, my wife (who eventually became my number one supporter) initially refused to accept any idea that I had bipolar disorder, thinking that I just needed to ""think more positively."" This prevented me from getting diagnosis and seeking treatment.",25.203449877878924,85.74146725626952
Hindhu,India,"various stimuli like family, societal pressure",Yes,medications and therapies,Experienced,people with Cerebral Palsy or even schizophrenia are labeled as being mad.,18.608336414432276,74.65592967992963
Islam,India,"There are many reasons, but to broaden it, i believe the interplay of nature vs nurture",Yes,If the individual is willing to get treated by the right mental health expert and has the available resources,Experienced,People saying that the new generation is making up issues over small small things and then calling it anxiety and depression,22.780699041762432,76.19965894370728
Hindhu,India,"Genetic, environmental, social",Yes,Consulting with therapist/psychologist,Experienced,Parents believing that mental health conditions in children is just a 'phase',13.215428300568455,79.27050072101954
Jain,India,"Most likely environmental factors, My family has a history of depression as well, so I would say genetic factors as well.",Yes,"I have been receiving treatment for my depression through medicine and CBT, it has worked well for me so far.",Experienced,"Often some of my family members would call me lazy, or would say I am ""Just sad""",25.15056835149917,88.39072666493826
,India,"Parental trauma, societal pressure",Yes,,Experienced,,26.88148276911329,78.54101649272692
Hindhu,India,Bio-psycho-socio and environmental factors,Yes,,Experienced,,28.00547172237692,74.97829347994035
Hindhu,India,"Triggers, chemicals in the brain, genes, trauma",Yes,Professional help.,Experienced,,29.538039091236374,73.38152320374249
Hindhu,India,By birth and sometimes stress,Yes,,Experienced,,15.850970336639389,79.71206289716291
Hindhu,India,environmental conditions,Yes,,Experienced,,23.200581282128045,85.41487507487552
Hindhu,India,none,Yes,therapy,Experienced,mental health to be neglected,31.124572900122143,79.10713925372063
Islam,India,Life,Yes,Not sure. Trialing anything and everything,Experienced,Medicine will make the depression worse. People believe self help is the best way and medication should be avoided.,23.75849914029784,85.58354047928881
Hindhu,India,Genetics and nurturing depending on person,Yes,"Holistic and western remedies depending on what works pee individual based on their severity, accessibility, etc",Experienced,"In addition to anxiety I am on the autistic spectrum just like my brother. He was diagnosed quick due to language issues yet I got no diagnosis until I sought help as adult despite my many academic and social emotional learning challenges. I think this had a lot to do with gender and model minority myth. My parents had advanced degrees and saw me as a kid smart enough to do anything but too lazy, and to this day I'm seen as not trying hard enough.",18.430367899959098,84.12687633836524
Christian,India,"Various factors including cognitive, psychosocial and biological causes",Yes,"The etiology can be understood and measures can be taken to provide the proper treatment, whether through therapy, various interventions or medication depending on the severity of the condition.",Experienced,"I would get panic attacks and people said I was just faking it for attention, or that I just needed to calm down and breathe.",22.094156193995673,86.53951255535068
Hindhu,India,My thinking patterns,Yes,With the help of professionals and one's own will one can achieve the results one is expecting from therapy.,Experienced,I myself did experience a situation where i was made to feel bad  about my psychological well-being.,27.360856182781482,78.06275615748162
Hindhu,India,"Severe stress of academics and my family, also it's genetical",Yes,With proper therapy and psychiatric medicines if needed,Experienced,I have experienced stigma in my family itself as they used to believe there is no need to seek help for metal disorders and that made my depression worse,28.597503890701404,79.06150057919203
Hindhu,India,Family,Yes,By seeking therapy,Experienced,I have experienced social stigma of what people will think regarding my mental health problems,18.012139826978746,74.72173838201245
Hindhu,India,stress. Society and the way they think on people. Anxiety,Yes,By talking about issues to a professional,Experienced,I have epilepsy and was Almost suicidal as I don’t drive and when I talk about it to people it helps. I know that others in my same diagnosis feel the same so it’s good to talk about it or find a hobby to keep me busy so I don’t think I have it,19.451270859070352,74.88927124578868
Atheist,India,An individual’s innate nature and their environment can both be contributing causes,Yes,People will get better if they receive help but some may never be cured completely.,Experienced,I have anxiety issues and suffer from attacks frequently. Many people have asked me to get over it or to stop overthinking.,19.89987165425828,79.78831890240022
,India,Genetics and day to day life stress maybe,Yes,Therapy interventions,Experienced,I had to tell my family that m taking a study classes when I started therapy,20.604816037732487,78.41143174530444
,India,Genitics or day to day life stress,Yes,Therapy interventions,Experienced,I had to tell my family that m taking a study classes when I started therapy,18.020164952321768,77.58568484588655
Hindhu,India,Negative thoughts,Yes,,Experienced,Fear of loosing loved ones,22.806420495791123,84.76507459141648
Hindhu,India,"childhood trauma, defective parental upbringing, societal beliefs",Yes,coping strategies,Experienced,due to my social anxiety i have heard many times that I wouldn't be able to have a proper career or would end up doing nothing,10.549205012594191,77.3489059121336
Agnostic,India,"Immediate Environment, Genetics, Trauma",Yes,"In the short term, steering away from drastic events such as suicide/self harm and treat long term mental illness with coping tools and most importantly a support system that can assure longevity of successful treatment.",Experienced,"Both experienced stigma against my struggles and witnessed the same with others, mostly alienation from close friends presumably due to lack of information regarding the matters, exhaustion or irritability from engaging in others crisis situations and fear associated with the stigmatised and dramatic representation of mental health conditions.",23.249530637535585,74.51467901200255
Hindhu,India,"Depends on the treatment recieved by the individual from people around them, environment and family and genes",Yes,With professional help and support and a supportive environment,Experienced,"Been told it’s a phase and would pass on, called selfish and attention seeking",27.221295569111316,88.77086710808626
Hindhu,India,Various Stressful stimuli like family,Yes,Medication and therapy,Experienced,A person with schizophrenia or even cerebral palsy is labelled as being mad in the community.,8.673664029802152,77.14840401268935
Hindhu,India,childhood trauma,Yes,therapy,Experienced,a friend with bpd always feeling left out,25.714055235395946,93.78891674527873
Islam,India,"Genetics, trauma, environmental factors.",Yes,"With proper diagnosis, medications, and support system that encourages a healthy lifestyle, yes, many mental health issues can be treated.",Experienced,"A family friend of mine was diagnosed with a severe mental disorder, schizophrenia and BPD. But they were afraid to reach out to their own family members and friends because they grew up in an environment where a person with any emotional disturbance or mental issues were labelled as crazy and we're outcasted. This person stay in denial about their illness through their whole life living in that fear.",20.459379354538044,83.79257180675819
Islam,Pakistan,"Childhood traumas, bad experiences with your loved ones, insecurities",Yes,They can be treated but it takes alot of time to heal,Experienced,"Yes, when i was having bad mental health everyone said you're over sensitive. People easily said that you're attention seeker",26.039764758934716,67.38793304474822
Islam,Pakistan,"Extreme Pressure of society, Relationship without marriage, pressure from university or home, Lack of Consultation, Anxiety etc",Yes,"Yes, by diagnosing and treating properly can treat mental health conditions.",Experienced,"Yes, in my hostel my room mate suffered from mental health issues due to extreme depression. She used to take sleeping pills. Then we got her treated from psychiatrist.",31.68491358144875,70.16252975934769
Islam,Pakistan,"Mental health is very important for everyone their several causes of mental health conditions like family disturbance, environment factors, genetic factors and individual personal disturbance from their life.",Yes,By contacting best psychologist and psychiatrist and take regular sessions and therapies or medicine cure this condition.,Experienced,Yes In my internship I see lot of people's suffering form different mental disorders. Some have depression and show no interest in every activity and always in his depressed mood.,32.16238648298022,74.2472949558738
Islam,Pakistan,,Yes,Because of different issues in life may be financially or practically or Any other reason,Experienced,Through a depression because of some issues,26.548233250117583,65.78541054381408
Islam,Pakistan,Can be genetic issues or environmental causes,Yes,Because there are some therapies and treatment out there to trear.,Experienced,They thought that it is because of evil eye,29.89542220288658,67.66307534425569
Islam,Pakistan,Yes because it is very important to live in healthy environment,Yes,To spend healthy life,Experienced,The experience wasn't good,31.077756763278988,68.11336534826391
Islam,Pakistan,"Could be anything, past traumas or could be genetically inherited",Yes,Very hard but yes if the person is strong enough  to fight back and to accept their mental health struggle and shows his/her commitment to themselves that they will overcome their condition.,Experienced,Sometimes mental health issue become part of their personality and they unwillingly hurt other people by words or their attitude.,27.11650385774375,64.32091412122966
Islam,Pakistan,"traumatic experiences ie abusive relationship, childhood experiences, death of loved ones, sexual assault etc.",Yes,"with familial and community support, therapy and medication",Experienced,"people with asd are considered ""lesser"" than neurotypical folks. they r looked down upon and discriminated against",31.810172003190992,73.47721646157403
Atheist,Pakistan,"a mix of genetics, environment, and trauma",Yes,It can't be cured but it can be managed with medication and talk therapy,Experienced,People treated me like I was less intelligent and less capable,24.80933492781147,70.19873439504144
Islam,Pakistan,Depression,Yes,,Experienced,,31.490968758108785,69.29815212959684
Islam,Pakistan,Genetics Enviormnetal SES,Yes,,Experienced,,32.72321940921327,70.17253627938815
Islam,Pakistan,Over thinking,Yes,,Experienced,,34.395448794835076,73.76797087952102
Islam,Pakistan,Arguments between our parents,Yes,By visiting doctor,Experienced,,28.46864573365609,65.40846760518934
Islam,Pakistan,Family and friends environement.,Yes,,Experienced,,32.550715923400006,72.94233134558496
Islam,Pakistan,People,Yes,,Experienced,,35.634926237557764,75.32815242363375
Islam,Pakistan,"Mental health conditions are such as anxiety , depression",Yes,"Go to phycologists and to change environment, also relax mental health",Experienced,my aunts have a issue about mental health,24.56630693458242,70.04937060587424
Islam,Pakistan,Family problems,Yes,Through therapy,Experienced,It happens many times,25.903257266913517,66.06425892137355
Islam,Pakistan,Causes are different social economical personal,Yes,By getting professional help,Experienced,I'm a psychology student I have witnessed and experienced many incidents,28.71701450700344,63.256219159394064
Islam,Pakistan,My family issues,Yes,Mental illness is not a thing that can’t be cured in today there are therapists that can make you feel better,Experienced,I was in examination hall everyone is calmly doing their paper and suddenly I got panic attack and started crying that was embarrassing even teachers told me you should be strong others saying she’s faking it for attention it was a disgrace,29.622016134611002,68.24015315762563
Islam,Pakistan,Unsupported environment at home,Yes,By talking and letting others know what you are going through (therapy),Experienced,"I have struggled a lot with existential anxiety and depression, I was constantly told that this is nothing and that I am just letting shaitan win if I carry out like this. A few of my friends were and my mosque teacher were super kind and supporting . They  help me to  see a clearer view of what's happening and they  listened to me without invalidating my feelings. It was horrible having to deal with it alone. It would have been way better if I could reach out to a professional the process of recovery would have been much faster and efficient. Nevertheless I am happy now and that anxiety has not comes back yet.",29.718410426709955,72.29901232202239
Islam,Pakistan,Mostly the stress from the family problems. About the father's lack of love. Your mother not being as affectionate as they need to be. Financial instability. Etc,Yes,Through talking to a professional and taking medication if needed.,Experienced,Every one calling me oversensitive and laughing at me while I was screaming my lungs out and crying.,30.425717481484835,68.99513098953437
Islam,Pakistan,"Mental health conditions can stem from a complex interplay of genetic, biological, environmental and psychological factors.",Yes,"through a combination of therapy, medication, and support systems tailored to individual needs.",Experienced,"being unfairly judged, avoided, or marginalized, perpetuating misconceptions about their capabilities or character.",26.504200444685928,63.84825983304179
Islam,Pakistan,Societal insecurities,Yes,By communicating issues with professionals and letting the thing out and seeking treatment regarding the issue,Experienced,A person who hated himself thinking that he should end his life because he just isn't good enough because of his past experiences and excessive use of drugs,28.733718709020923,68.54227098189904
Islam,Pakistan,Some kind of traumatic events,Yes,"Mental health conditions can be treated by family support, psychotherapies and with counselling as well.",Experienced,A person lived in our town head OCD but people of my town said that he is crazy man. His family members also consider him crazy and this word  is the stigma of for him,28.218880102615845,71.20374120957669
,Nepal,Stress,Yes,With proper communication,Experienced,People try to maintain distance from those known to have undergone mental health disorder.,28.99961118877271,81.49943062198531
Hindhu,Nepal,Multi- factor can cause mental health conditions simply from childhood rearing experiences to daily life shortcomings. Most of them arise out of inability to adjust to living condition's and accept as oneself..,Yes,"with therapies, medication, healthy life practices",Experienced,most people believe it occur due to sin,29.54574790773075,82.03105902787728
Islam,Bangladesh,Environmental factors/surroundings and triggers as well as biological,Yes,Through therapy and medication.,Experienced,"Yes, telling a family member how I feel and them not taking it seriously.",24.894063980737094,90.19003208118033
Hindhu,Bangladesh,multifactorial,Yes,drug and psycotheraphy,Experienced,negative attitude,22.87052763666145,89.12128923876296
Hindhu,Bangladesh,"Stress, Depression, economic pressure",Yes,,Experienced,,22.876470910312037,92.120647616384
Islam,Bangladesh,Childhood trauma,Yes,,Experienced,,22.202665774493305,89.69793218717949
Islam,Bangladesh,Don't know,Yes,Counselling and medication,Experienced,,24.689232453574952,91.47443889909552
Islam,Bangladesh,Environmental,Yes,Proper support from the environment and will power,Experienced,I was called weak singled out from classes for having a panic attack after being scolded Infront of everyone around me me for 2 hrs strainf after 1 month of torture,25.000403750706404,90.58661352872761
,Bangladesh,"Environment, toxic social environment, lack of awareness/openness about psychological issues",Yes,,Experienced,"Hush, hush; we don’t talk about that.",24.038387934985725,91.22663774443005
Islam,Maldives,"Childhood trauma, family society. Overall what a person goes through in life",No,At the end of the day no matter what you still want to jump off that cliff and die,Witnessed,My friend got diagnosed with ADHD and depressed. Her family started to discriminate her and call her mentally ill and unstable.,6.323469182472532,73.23167257752473
Islam,Maldives,"Genetics, environment",No,Never seen it work,Witnessed,Gossiping about the person,2.1893616443457193,73.09445122493923
,India,combination of environmental and genetic factors,No,"not treated, as there is a biological component to them that is described as being deterministic. on the other hand, i believe the disorder and it’s symptoms can be controlled",Witnessed,"yes, those on the ASD getting marginalized at school",28.564473235676104,72.83323843998622
Agnostic,India,I believe in the biopsychosocial model of health for the most part,No,Some can but most are not treated as much as they are managed,Witnessed,People unable to understand the different brain functioning of neurodivergent people,15.629923911038961,79.99253778122677
Hindhu,India,Not enough money,No,Because the problems that causes the mental health conditions,Witnessed,Boys can’t crying,29.397291350969766,77.88934464407174
Islam,Maldives,People,Yes,"Therapy, medication, being supportive and kind",Witnessed,When the person socially withdraws oneself  from a social gathering  he or she was labeled and someone who  is rude. When shared about depression  and anxiety issues people judge. People say that he /she is seeking attention or needs to man up,2.3155996866725714,72.9442478338927
Islam,Maldives,Ignorance towards the existence of mental health issues and the stigma surrounding it.,Yes,With the right therapy and treatments the effects can be minimised but the people might not be healed fully,Witnessed,"When a person is seen to be showing signs of mental illness or are facing mental health issues, people tend to say that they are insane or it's all an act to gain attention uon",5.964361525824592,73.40926537170213
Islam,Maldives,Genetic and lifestyle related causes,Yes,,Witnessed,Unfair treatment within the job sector,2.923580501408833,73.58017050880093
Islam,Maldives,"Childhood trauma, unable to talk about feelings",Yes,With therapy and proper care,Witnessed,They just straight up dismiss saying its not real. Just praying and having faith will make it better,4.207217651216392,73.53978278580513
Islam,Maldives,"Traumatic experiences, financial instability, stressful situations, genetic predisposition, any physical injury especially to the brain",Yes,By educating the public and making them aware,Witnessed,The person was labeled as stubborn and someone who brings creates chaos within the family for how she acts since she went through a traumatic injury while giving birth,4.014006693827518,73.38205515893898
Islam,Maldives,Not accepting that its a mental health issue,Yes,,Witnessed,That she is being dramatic to avoid responsibilities,2.198188609084961,73.12668981819408
Islam,Maldives,"It is a disease condition same as any other medical condition.can cause due to many reasons such as stress full life, trauma, family history etc",Yes,Many therapies and medications are available to treat ment health conditions. Ofcourse relegious practices will definitely help to go through it.,Witnessed,Still there are people who believe that mental heath problems are faced by those people who are less faithful,4.226473642866111,73.54504770037535
Islam,Maldives,Lifestyle and upbringing,Yes,With proper Diet and exercise and self-awareness,Witnessed,Some people do not believe anxiety as a reality,1.8733530774848743,73.52574698504979
Islam,Maldives,Genetics. Childhood. Tough external circumstances,Yes,Self Awareness. Therapy.,Witnessed,Some parents not believing in mental health and mentioning that prayers and religious activities is all it takes to cure mental conditions.,6.578043009867297,73.05002548898901
Islam,Maldives,"Lot of causes. Family history, environmental factors, social factors etc",Yes,"Lots of ways. Therapy, support groups, more education on self help, medications, other treatments, therapies..etc",Witnessed,"Several times where people with mental health issues are mocked and laughed at, not supported.",1.9337053229604373,73.55011882636012
Islam,Maldives,"Lack of emotional support, care from friends, spouse and family",Yes,Understanding yourself better and exploring new things. Happy time spent with loved ones.,Witnessed,Self doubting and lack of confidence,5.708070233917061,73.02247011388906
Islam,Maldives,,Yes,With the access to resources the conditions can be treated. Not gaining access due to expenses and lack of experts of the field is seen to be the biggest issue.,Witnessed,Seeing people mental health conditions invalidated and told that “people have it worse in their life”. Seeing people with diagnosed mental health conditions given unsolicited advice such as to “get over it” or “stop thinking too much”,6.83456969894083,73.01050871997849
Islam,Maldives,"Various causes. Genetics, Nurture, etc",Yes,"Counselling, Psychotherapy, Love and support, medication",Witnessed,People verbally and emotionally abusing them. Calling students who misbehave bad.,2.167396931298323,73.03456053552408
Islam,Maldives,"Genes, inherited generational trauma?, stigma surrounding therapy and getting help",Yes,"Therapy, medication",Witnessed,People don’t understand exactly how debilitating depression can be and often just regard it as laziness. Have witnessed situations where they dismiss a person with depression as a lazy person and refrain from inviting them to places/ giving responsibilities etc,5.796432847779181,73.22705781364164
Islam,Maldives,Demonic,Yes,,Witnessed,,4.173410657495266,73.50407158252894
Islam,Maldives,Hormonal imbalance in the brain,Yes,,Witnessed,,3.0565633944234847,72.88815593361666
Islam,Maldives,,Yes,Medication and counseling,Witnessed,,2.098823461524136,73.54612681292947
Islam,Maldives,,Yes,,Witnessed,,0.19812598036841267,73.18918976641403
Islam,Maldives,Societal issues,Yes,,Witnessed,,6.74788926709727,73.17243136727032
Islam,Maldives,Socioeconomic conditions,Yes,Proper access to psychologists and psychiatrists,Witnessed,,0.22639891023910086,73.26742591734516
Islam,Maldives,Trauma,Yes,,Witnessed,,6.614871253496483,73.06810462056747
Islam,Maldives,"Multifactorial. Environmental issues, family issues, social issues",Yes,People with me talk health conditions can seek for professional health rather than being silent and thinking that you are just different and there's nothing you can do about it,Witnessed,,4.176985081062079,73.51376207361916
Islam,Maldives,The experiences they have gone through,Yes,With the right help it can be treated,Witnessed,,6.5145820946753235,73.05232258669042
Islam,Maldives,nature & nurture,Yes,"by therapy, medications etc",Witnessed,,6.5722891445718545,73.0524546095567
Islam,Maldives,"Stress, poverty, trauma, abuse",Yes,By seeking help,Witnessed,Many incident within the family of the person,6.767834302587247,73.17900646205771
Islam,Maldives,Biological and social causes,Yes,,Witnessed,"Lot of situations where people relating mental health issues to not being religious enough, or people seeking attention, a lot other reasons",5.397591385444211,73.64856269493637
Islam,Maldives,Less socialising,Yes,Sharing your difficulties to another person,Witnessed,"Loss of appetite, less talking",1.8608309105905856,73.52207350134621
Islam,Maldives,"Financial, Environmental, Social",Yes,"Depending on severity, counsel and/or medication.",Witnessed,"It's always a one-shoe-fits-all situation where if you think you need a psychologist or psychiatrist you're already in need of a mental asylum. This thought process prevented my mom from getting help for post partem for over 10 years and by the time she actually did, she already developed several other mental illnesses due to it and required heavy medication to function",3.985951595752463,72.71986473443172
Islam,Maldives,"Childhood trauma, bullying, intense pressure from family, social media",Yes,"Therapy, medications, self care like exercising, journaling etc",Witnessed,"Intense anxiety and depression due to pressures of med school and when my friend went to her parents to talk about it, they said it’s because she is not religious",0.48874171165466274,72.99552846759062
